frame_357585,"[0, 0.8]"
frame_926395,"[0, 0.8]"
frame_381459,"[0, 0.8]"
frame_365475,"[0, 0.8]"
frame_535898,"[0, 0.8]"
frame_289662,"[0, 0.8]"
frame_179649,"[0, 0.8]"
frame_372972,"[0, 0.8]"
frame_312055,"[0, 0.8]"
frame_227424,"[0, 0.8]"
frame_777360,"[0, 0.8]"
frame_833655,"[0, 0.8]"
frame_654095,"[0, 0.8]"
frame_735472,"[0, 0.8]"
frame_781215,"[0, 0.8]"
frame_072649,"[0, 0.8]"
frame_220666,"[0, 0.8]"
frame_801312,"[0, 0.8]"
frame_130964,"[0, 0.8]"
frame_327612,"[0, 0.8]"
frame_536431,"[0, 0.8]"
frame_853519,"[0, 0.8]"
frame_402695,"[0, 0.8]"
frame_171475,"[0, 0.8]"
frame_481882,"[0, 0.8]"
frame_088074,"[0, 0.8]"
frame_581806,"[0, 0.8]"
frame_842720,"[0, 0.8]"
frame_226378,"[0, 0.8]"
frame_849573,"[0, 0.8]"
frame_706791,"[0, 0.8]"
frame_974027,"[0, 0.8]"
frame_372427,"[0, 0.8]"
frame_120888,"[0, 0.8]"
frame_532603,"[0, 0.8]"
frame_321334,"[0, 0.8]"
frame_586014,"[0, 0.8]"
frame_841993,"[0, 0.8]"
frame_261798,"[0, 0.8]"
frame_503776,"[0, 0.8]"
frame_027706,"[0, 0.8]"
frame_988679,"[0, 0.8]"
frame_816795,"[0, 0.8]"
frame_485836,"[0, 0.8]"
frame_140917,"[0, 0.8]"
frame_633418,"[0, 0.8]"
frame_895578,"[0, 0.8]"
frame_243890,"[0, 0.8]"
frame_640077,"[0, 0.8]"
frame_495242,"[0, 0.8]"
frame_103353,"[-0.6, 0.6]"
frame_449880,"[-0.6, 0.6]"
frame_278948,"[-0.6, 0.6]"
frame_219296,"[-0.6, 0.6]"
frame_096049,"[-0.6, 0.6]"
frame_270407,"[-0.6, 0.6]"
frame_990333,"[-0.6, 0.6]"
frame_068239,"[-0.6, 0.6]"
frame_512261,"[-0.6, 0.6]"
frame_488957,"[-0.6, 0.6]"
frame_317311,"[-0.6, 0.6]"
frame_796987,"[-0.6, 0.6]"
frame_188577,"[-0.6, 0.6]"
frame_854081,"[-0.6, 0.6]"
frame_794130,"[-0.6, 0.6]"
frame_655438,"[-0.6, 0.6]"
frame_637708,"[-0.6, 0.6]"
frame_653109,"[-0.6, 0.6]"
frame_823745,"[-0.6, 0.6]"
frame_467520,"[-0.6, 0.6]"
frame_148792,"[-0.6, 0.6]"
frame_268026,"[-0.6, 0.6]"
frame_478618,"[-0.6, 0.6]"
frame_465359,"[-0.6, 0.6]"
frame_846722,"[-0.6, 0.6]"
frame_737239,"[-0.6, 0.6]"
frame_644306,"[-0.6, 0.6]"
frame_724607,"[-0.6, 0.6]"
frame_402511,"[-0.6, 0.6]"
frame_230334,"[-0.6, 0.6]"
frame_567986,"[-0.6, 0.6]"
frame_545656,"[-0.6, 0.6]"
frame_463327,"[-0.6, 0.6]"
